ID,FirstName,LastName,Email,TeamColor,Gender,Position
44,Jane,Ramirez,jramirez17@infoseek.co.jp,Blue,Female,Coach
1,Margaret,Montgomery,mmontgomery0@aboutads.info,Gold,Female,Coach
12,Lori,Howard,lhowardb@usgs.gov,Green,Female,Coach
50,Edward,Holmes,eholmes1d@mit.edu,Orange,Male,Coach
4,Kenneth,Gilbert,kgilbert3@wix.com,Purple,Male,Coach
33,Chris,Gray,cgrayw@youku.com,Red,Male,Coach
27,Russell,Walker,rwalkerq@go.com,Yellow,Male,Coach
45,Gerald,Sanchez,gsanchez18@twitpic.com,Blue,Male,Player
14,Earl,Lee,eleed@wordpress.org,Blue,Male,Player
26,Roger,Franklin,rfranklinp@behance.net,Blue,Male,Player
29,Roy,Johnston,rjohnstons@ucoz.ru,Blue,Male,Player
36,Roy,Clark,rclarkz@qq.com,Blue,Male,Player
15,Paula,Phillips,pphillipse@odnoklassniki.ru,Blue,Female,Player
34,Scott,Robinson,srobinsonx@yellowbook.com,Blue,Male,Player
37,Barbara,Wright,bwright10@samsung.com,Blue,Female,Player
41,Lisa,Riley,lriley14@mysql.com,Blue,Female,Player
9,Jose,Little,jlittle8@upenn.edu,Gold,Male,Player
23,Donald,Carr,dcarrm@blinklist.com,Gold,Male,Player
42,Wayne,Bishop,wbishop15@bbb.org,Gold,Male,Player
31,Jeffrey,White,jwhiteu@biblegateway.com,Green,Male,Player
39,Lori,Turner,lturner12@a8.net,Green,Female,Player
30,Lori,Carter,lcartert@irs.gov,Green,Female,Player
35,Beverly,Bell,bbelly@amazon.de,Green,Female,Player
13,Theresa,Meyer,tmeyerc@disqus.com,Green,Female,Player
11,Jeffrey,Fowler,jfowlera@taobao.com,Orange,Male,Player
48,Debra,Moreno,dmoreno1b@mediafire.com,Orange,Female,Player
7,Ann,Williams,awilliams6@howstuffworks.com,Purple,Female,Player
25,Amy,Burton,aburtono@ifeng.com,Purple,Female,Player
6,Donna,Roberts,droberts5@squidoo.com,Purple,Female,Player
19,Juan,Wilson,jwilsoni@ning.com,Purple,Male,Player
49,Victor,Murphy,vmurphy1c@redcross.org,Purple,Male,Player
3,Marie,Davis,mdavis2@businessinsider.com,Purple,Female,Player
5,Dennis,Austin,daustin4@gov.uk,Purple,Male,Player
10,Nicholas,Shaw,nshaw9@ted.com,Purple,Male,Player
17,Joe,Alvarez,jalvarezg@eventbrite.com,Purple,Male,Player
18,Kenneth,Gordon,kgordonh@surveymonkey.com,Purple,Male,Player
28,Joe,Green,jgreenr@nsw.gov.au,Red,Male,Player
47,Anne,Rice,arice1a@msn.com,Red,Female,Player
40,Matthew,Garrett,mgarrett13@php.net,Red,Male,Player
8,Sandra,Murray,smurray7@telegraph.co.uk,Red,Female,Player
20,Sean,Mills,smillsj@abc.net.au,Red,Male,Player
24,Adam,Hart,ahartn@craigslist.org,Red,Male,Player
2,Irene,Harvey,iharvey1@dmoz.org,Yellow,Female,Player
38,Sarah,Jenkins,sjenkins11@chron.com,Blue,Female,TeamCapitan
21,Irene,Fisher,ifisherk@cnet.com,Gold,Female,TeamCapitan
22,Dennis,Palmer,dpalmerl@instagram.com,Green,Male,TeamCapitan
43,Ashley,Cruz,acruz16@cornell.edu,Orange,Female,TeamCapitan
32,Brian,Daniels,bdanielsv@ovh.net,Purple,Male,TeamCapitan
16,Mary,Austin,maustinf@uiuc.edu,Red,Female,TeamCapitan
46,Nicholas,Knight,nknight19@barnesandnoble.com,Yellow,Male,TeamCapitan
